BL1-;BL1+;BL2-;BL2+;BL3-;BL3+;BL4-;BL4+;BL5-;BL5+;BL6-;BL6+;BL7-;BL7+;BL8-;BL8+;BL9-;BL9+;BL10-;BL10+;BL11-;BL11+;BL12-;BL12+;BL13-;BL13+;BL14-;BL14+;BL15-;BL15+;BL16-;BL16+;BL17-;BL17+;BL18-;BL18+;BL19-;BL19+;BL20-;BL20+
a;c;a;b;a;c;b;a;a;c;b;a;b;c;a;c;c;b;a;c;b;c;b;c;a;c;b;c;a;c;a;c;a;c;a;c;a;c;b;a
b;a;c;a;b;a;c;a;b;c;c;a;a;c;c;b;c;a;a;c;b;c;b;a;a;c;b;c;a;c;a;c;a;c;b;c;a;c;a;b
a;c;a;c;a;c;a;c;a;b;b;c;b;a;a;c;a;c;a;c;a;c;b;c;a;c;a;c;a;c;a;c;a;c;c;b;a;c;c;b
b;c;a;c;a;c;a;c;a;b;a;c;b;a;a;c;a;b;c;b;a;b;a;b;b;a;b;a;a;c;a;c;b;a;b;c;b;a;a;c
a;b;a;b;b;a;a;b;a;c;b;a;a;c;a;c;c;b;c;b;a;b;a;c;b;c;a;c;b;c;a;b;a;c;b;c;a;c;c;b
a;c;b;c;a;c;b;a;b;c;b;c;a;b;a;c;c;b;a;c;a;c;b;c;a;c;a;c;a;c;a;c;a;c;a;c;a;c;a;b
b;a;a;c;a;c;a;b;a;c;b;c;a;c;a;c;c;b;c;a;a;c;a;c;a;c;b;a;a;c;a;b;a;c;a;c;c;a;a;c
a;c;a;c;a;c;a;c;b;c;b;c;b;c;a;c;b;a;b;a;a;c;a;c;a;c;b;a;a;c;a;b;b;c;a;c;a;c;a;c
b;a;b;a;a;c;a;c;a;b;b;a;b;a;a;b;c;b;b;c;b;a;b;c;b;c;a;c;a;c;a;c;a;c;b;c;a;c;c;b
b;c;b;c;b;a;a;c;c;b;a;c;a;c;b;c;c;a;a;b;a;c;b;a;c;b;a;c;a;c;a;c;a;c;a;c;a;c;a;c
a;c;a;c;b;a;a;c;a;c;a;c;a;b;a;b;c;b;a;c;b;c;b;a;b;a;b;c;a;c;a;c;a;c;b;c;a;b;b;c
b;a;b;a;a;c;a;b;a;c;b;c;b;c;b;c;c;a;a;b;b;a;a;c;b;a;a;c;a;c;a;b;b;a;a;c;b;c;c;b
b;c;b;c;a;c;b;c;a;c;b;a;a;c;a;c;c;b;a;c;a;c;b;a;b;c;a;c;a;c;a;b;a;c;b;c;b;c;b;c
c;b;a;c;b;a;a;c;b;c;b;a;a;c;b;c;c;a;a;c;a;c;b;c;a;c;a;c;a;c;a;b;b;c;b;c;a;c;a;b
a;c;b;c;a;c;a;c;b;c;a;c;a;b;b;a;c;b;a;c;a;b;b;a;b;c;a;c;b;a;a;c;b;a;a;c;a;c;a;c
b;c;a;c;a;c;b;c;a;c;b;c;a;c;b;c;c;a;c;b;b;a;b;c;a;c;b;c;a;c;a;b;a;c;b;a;a;c;a;c
a;c;a;b;c;b;a;c;a;c;a;c;a;c;a;c;c;b;c;b;a;c;b;c;a;c;b;c;a;c;c;b;a;c;b;c;b;c;a;c
a;c;a;c;a;c;a;c;b;c;a;c;a;c;a;b;c;b;a;c;a;c;a;c;a;c;b;c;b;c;a;c;b;c;b;c;b;c;c;b
a;c;a;b;b;c;a;c;a;c;b;a;a;c;a;c;c;b;a;c;b;c;b;c;a;c;a;c;b;c;a;c;a;b;c;b;b;c;a;c
b;a;a;b;a;c;a;c;a;c;b;c;b;c;b;a;c;b;c;b;b;a;b;c;b;c;b;c;b;c;a;b;a;c;a;b;a;b;b;a
a;c;a;c;b;a;a;c;b;c;a;b;b;c;b;c;c;a;a;c;b;c;b;a;b;c;a;c;a;c;a;b;a;c;a;c;a;c;a;c
b;a;a;c;a;b;a;c;a;c;b;a;b;c;a;c;c;a;c;b;a;c;b;c;a;c;a;c;a;c;a;b;b;c;a;c;b;c;a;c
c;b;b;c;a;c;a;c;a;c;c;a;b;a;b;c;c;b;a;c;a;c;a;c;c;b;b;a;b;a;a;b;b;c;c;b;a;c;a;c
b;c;a;c;a;c;a;c;c;b;b;c;b;c;a;c;c;b;b;a;a;b;b;a;b;c;a;c;a;c;a;c;a;c;a;c;a;b;c;b
b;a;b;c;c;b;a;c;a;c;a;c;a;b;a;c;c;a;a;c;a;b;b;c;a;c;b;c;a;c;a;c;a;c;a;c;a;c;a;c
a;c;a;b;b;c;a;c;a;c;a;c;b;c;a;b;a;b;c;b;a;c;c;a;b;c;b;a;a;c;a;c;a;b;a;b;a;b;a;c
b;a;a;b;b;c;b;c;a;c;a;c;a;b;c;a;c;a;a;b;a;c;a;c;a;c;a;b;a;c;a;c;a;c;a;c;a;c;a;c
a;c;a;c;a;c;a;c;a;c;b;c;b;c;b;c;c;b;c;b;a;c;b;c;a;c;b;a;a;c;a;c;a;c;a;c;a;c;a;c
a;c;a;c;b;a;a;c;a;c;b;a;a;c;b;c;c;b;a;c;a;c;b;a;b;c;a;c;a;c;a;b;a;b;a;c;a;c;a;b
c;b;a;b;a;b;c;b;b;a;a;c;a;c;a;c;c;a;c;a;b;c;b;a;c;a;a;b;a;c;a;c;a;c;b;c;a;c;c;b
a;c;a;c;b;a;a;c;a;c;b;c;b;c;a;c;c;b;b;c;b;c;b;c;b;c;a;b;a;c;a;b;b;c;a;c;b;c;a;c
a;c;b;a;a;c;a;c;b;c;c;b;a;b;b;c;c;b;c;a;b;c;b;a;b;c;b;c;a;b;a;c;b;c;a;c;a;b;a;c
b;c;b;c;c;b;a;c;a;c;b;a;a;c;a;c;c;b;a;c;a;c;b;c;c;b;a;c;a;c;a;c;a;c;a;c;a;c;a;c
a;c;a;c;a;c;b;a;b;a;b;c;b;c;b;c;c;b;a;c;a;c;b;c;b;c;b;c;b;a;a;b;a;b;a;c;a;c;a;c
a;c;a;b;a;c;a;c;a;c;b;a;a;c;c;a;a;c;c;b;a;c;a;c;b;c;b;c;a;c;a;c;a;c;a;c;a;c;a;b
a;b;a;c;c;b;a;c;a;c;b;a;a;c;a;b;b;a;b;a;a;c;b;c;a;c;a;c;a;c;a;b;a;c;b;c;a;c;a;c
a;c;a;c;a;c;a;c;a;c;c;b;a;b;b;c;c;b;a;b;a;c;b;c;a;c;c;b;a;c;a;b;a;b;a;b;b;a;b;a
a;b;a;b;a;c;a;c;a;c;c;b;a;c;a;c;a;c;c;b;a;c;b;a;a;c;a;c;b;c;c;b;b;a;c;b;a;c;a;c
a;c;a;c;a;b;a;c;a;c;b;a;a;c;b;c;c;b;a;c;a;c;b;a;a;c;a;c;a;c;c;b;c;b;a;c;b;c;b;c
b;a;b;c;b;c;a;c;a;c;a;c;b;c;b;c;c;a;b;c;b;c;c;b;a;c;b;c;b;c;a;b;b;c;b;c;b;c;c;b
a;c;a;c;b;c;a;c;a;c;b;a;a;c;a;b;c;b;a;c;a;c;b;c;c;b;a;c;a;c;a;c;a;c;b;c;b;c;b;c
b;c;a;b;a;c;b;c;a;c;b;a;a;c;a;c;c;b;c;b;a;c;b;c;a;b;b;c;a;c;c;b;b;a;a;c;a;c;b;c
a;c;a;c;a;c;b;c;b;c;b;a;a;c;a;b;c;a;c;b;b;c;a;c;c;a;a;c;a;c;c;b;a;c;a;c;a;c;b;c
b;a;a;c;b;a;c;b;a;b;b;a;c;a;a;c;c;a;c;b;b;c;b;c;b;a;a;c;a;c;a;c;a;c;a;c;a;c;a;c
b;a;b;c;a;c;c;b;b;c;c;b;b;c;a;c;c;b;c;a;a;c;b;c;c;a;b;a;a;c;a;b;a;c;a;c;a;c;a;b
a;c;c;a;c;b;b;c;c;b;a;b;a;b;b;c;c;b;c;a;a;c;b;a;a;c;a;c;a;c;a;b;c;b;c;b;c;a;a;c
a;b;b;a;a;c;c;b;a;c;b;c;a;c;c;a;b;a;c;a;a;c;a;c;b;c;a;c;a;c;a;b;a;c;b;c;c;b;c;b
a;c;b;c;a;c;a;c;a;c;a;c;a;c;a;b;b;a;c;b;a;c;a;c;a;c;a;c;a;c;c;b;a;c;a;c;b;c;a;c
c;b;a;c;a;c;a;c;a;b;a;c;a;b;a;c;c;a;a;b;a;c;b;a;a;c;a;c;a;b;a;c;b;c;b;c;a;c;a;c
a;c;a;c;a;c;a;c;a;c;a;c;a;c;a;c;c;b;c;b;a;c;b;c;a;c;b;c;c;b;c;b;b;c;b;a;b;a;c;b
b;a;a;c;b;c;a;c;a;c;b;c;c;b;c;b;c;b;c;b;a;c;b;a;a;b;b;c;a;c;c;b;c;b;b;c;a;c;b;a
a;c;a;c;a;b;a;c;a;c;a;c;b;c;b;c;b;a;c;a;a;c;a;c;b;c;a;c;b;c;a;c;a;c;b;c;b;c;a;c
b;c;a;b;a;c;a;c;a;c;b;a;a;c;a;c;c;a;c;b;a;c;c;a;a;c;a;c;b;c;a;c;b;c;a;c;a;c;a;c
a;b;a;c;b;a;a;b;a;c;a;c;a;b;a;b;a;b;a;c;a;c;b;c;a;c;a;c;a;c;a;c;a;c;a;c;b;c;c;b
a;b;b;a;b;c;a;c;a;c;c;b;a;c;a;b;c;a;a;c;b;c;b;c;c;b;a;c;a;c;a;b;a;c;b;a;b;c;a;c
c;a;b;c;b;a;a;c;a;b;c;b;a;c;a;b;c;b;c;a;b;c;b;a;a;c;b;c;b;c;c;b;b;c;a;b;a;c;c;b
b;c;a;c;a;c;a;c;a;b;c;a;a;b;a;c;c;b;c;b;a;c;b;a;a;c;a;c;a;c;a;b;a;c;a;c;b;a;b;a
a;c;a;b;b;a;a;c;b;c;b;c;b;c;a;c;a;b;c;b;a;b;b;c;b;a;a;c;b;c;c;b;a;b;a;c;a;b;a;c
a;c;a;c;b;c;a;b;a;c;b;c;a;c;b;c;c;b;c;b;c;b;b;a;a;c;a;c;b;c;c;b;b;c;c;b;a;c;a;c
a;c;b;a;a;c;a;c;b;c;b;c;a;c;a;c;c;b;a;b;a;c;a;c;a;b;b;a;c;b;a;b;a;c;a;b;a;c;a;c
a;b;a;c;a;b;b;c;a;c;a;b;a;c;a;c;c;a;a;b;b;c;a;c;c;a;b;c;a;c;a;c;a;c;b;a;b;a;c;b
b;c;b;c;b;c;a;c;a;c;a;c;a;c;b;c;c;a;a;c;a;c;b;a;b;c;b;c;a;c;a;b;a;c;a;c;c;b;b;c
a;c;a;c;c;b;b;a;b;c;a;c;b;c;a;b;c;a;c;b;a;b;b;a;c;b;b;c;a;c;c;b;a;c;a;c;c;b;a;c
c;b;b;a;a;c;a;c;b;a;b;a;a;c;a;c;c;b;c;a;a;c;b;c;a;c;a;c;a;c;a;b;a;c;a;c;a;c;a;c
a;c;a;c;b;c;a;c;a;c;c;a;a;c;b;c;a;c;c;a;a;c;c;a;c;b;a;c;b;a;b;c;b;c;a;c;b;c;a;c
a;b;b;c;a;c;a;c;a;b;b;a;a;b;a;b;c;b;c;b;a;c;b;c;c;b;a;b;a;c;a;b;a;b;b;a;b;c;c;b
a;c;b;a;a;c;a;c;a;b;b;a;a;b;a;b;a;b;c;b;a;c;c;a;b;c;a;c;b;c;a;b;a;c;a;c;a;c;a;c
a;c;a;c;b;c;a;c;a;c;a;c;a;c;a;c;a;b;a;c;a;c;b;a;a;c;a;c;b;a;b;c;a;c;a;c;a;b;a;b
c;b;b;c;c;b;b;c;b;a;b;c;a;c;a;c;b;a;c;a;b;a;b;c;b;c;a;c;a;c;a;b;a;c;a;c;b;c;b;a
b;c;b;c;a;c;a;c;a;c;a;c;b;c;b;a;c;b;c;b;b;a;b;a;a;c;a;c;a;c;c;b;a;c;a;c;c;b;b;c
a;c;c;a;a;c;b;c;a;c;a;c;a;c;c;a;c;a;a;b;c;b;a;c;a;c;b;a;b;a;a;c;c;b;b;a;c;a;c;b
b;a;a;c;a;c;a;c;a;c;b;a;c;a;a;c;b;a;a;c;b;a;b;c;b;c;a;c;a;c;a;b;a;c;a;c;a;c;a;b
a;c;a;c;b;c;a;c;c;b;b;c;c;b;a;c;c;b;c;b;a;c;b;c;c;b;c;a;c;b;a;c;c;b;a;c;c;a;a;b
b;c;b;a;b;a;b;a;b;a;c;b;c;b;b;a;c;a;c;a;c;b;c;a;b;c;a;c;a;b;b;c;a;c;c;a;a;b;b;c
c;a;b;a;b;c;a;c;b;c;a;c;b;c;a;c;b;a;c;b;a;c;b;a;b;a;a;c;a;c;a;c;a;b;a;b;a;c;a;b
a;b;a;c;a;b;a;c;a;c;a;c;a;b;a;c;c;b;a;b;a;c;c;a;a;c;b;a;a;c;b;c;b;c;a;c;a;c;a;c
b;a;b;c;c;b;c;b;c;a;a;c;c;b;a;c;c;a;c;a;a;c;b;c;b;a;b;c;c;b;a;b;c;b;c;b;a;b;b;a
b;a;c;b;a;c;b;c;a;c;b;c;a;c;c;a;a;b;c;a;b;c;b;a;b;c;a;c;a;c;a;c;a;c;a;c;c;a;a;c
a;c;c;b;a;c;a;c;a;c;b;a;a;c;c;b;c;b;c;b;c;b;b;a;b;a;b;a;a;c;b;c;b;c;b;c;a;b;a;c
b;c;b;c;c;a;a;c;a;c;b;a;a;c;b;a;c;a;c;b;b;c;b;c;c;a;b;c;a;c;a;b;a;c;b;a;a;c;b;c
a;c;c;b;b;c;a;c;b;c;b;a;a;c;c;b;a;b;a;c;b;c;b;a;b;a;b;c;a;c;a;c;a;c;a;c;a;c;b;c
c;b;a;c;b;a;a;c;a;c;b;c;a;c;a;c;a;c;c;b;b;c;b;c;a;c;a;c;a;c;b;c;a;c;a;c;a;c;a;c
a;c;a;b;a;c;a;c;a;c;b;c;b;c;b;a;a;b;c;a;a;c;b;a;a;c;b;c;a;c;a;c;b;c;a;c;a;c;a;b
a;b;a;c;a;c;a;c;a;c;a;c;a;c;a;c;c;b;c;b;b;c;b;c;a;c;c;b;a;c;a;b;c;b;b;c;a;c;c;b
b;a;b;a;a;b;a;c;b;c;a;c;b;a;b;a;c;a;b;a;a;c;a;c;a;c;b;c;a;c;a;c;a;b;a;c;b;a;c;b
b;a;a;c;b;a;a;c;b;c;a;c;b;c;a;c;c;b;c;a;b;c;b;c;c;b;c;a;b;a;a;b;a;c;c;b;c;b;a;c
b;c;b;c;c;b;a;c;b;c;a;c;b;c;a;c;c;b;c;b;a;c;a;c;b;c;b;a;a;c;c;b;a;c;a;b;b;c;a;c
a;c;b;c;a;c;a;c;a;c;b;a;a;c;b;c;c;a;c;b;a;c;b;c;b;a;a;c;a;c;c;b;b;a;a;c;b;c;a;c
b;a;a;c;a;c;a;c;a;c;b;a;b;c;b;c;c;a;a;b;b;c;a;c;b;c;b;c;c;b;a;b;a;c;a;c;c;a;a;b
a;c;b;c;b;c;b;c;b;c;b;c;a;c;c;b;c;b;c;b;b;c;b;a;a;c;b;a;a;c;a;b;b;c;c;b;a;c;a;c
a;c;b;a;c;b;a;c;b;a;c;b;a;c;a;c;c;a;c;b;b;a;b;c;b;a;b;c;a;c;c;b;a;c;b;c;a;b;a;c
a;c;a;c;a;c;b;c;a;c;b;a;a;c;a;c;c;b;b;c;a;c;b;a;b;a;a;c;a;b;a;b;a;c;a;c;a;c;a;c
a;c;a;c;a;c;a;c;c;b;b;a;a;c;a;b;c;b;c;b;a;c;b;c;b;a;a;c;a;c;a;c;a;b;c;b;a;c;b;c
a;b;b;c;b;c;b;c;b;c;c;b;b;c;c;b;b;a;c;b;b;c;b;c;b;c;b;c;a;b;a;c;a;c;a;c;a;c;a;b
b;c;b;c;a;c;a;c;a;c;c;b;b;a;a;c;c;b;c;b;a;c;b;c;c;b;b;a;a;c;a;b;b;c;a;c;b;a;a;b
a;c;a;b;b;c;a;c;a;c;c;b;a;c;a;c;b;a;a;c;b;a;a;c;a;c;a;c;a;c;a;c;a;c;a;c;a;c;a;c
a;c;a;b;a;c;c;b;c;b;b;a;a;c;a;c;a;b;a;c;a;c;b;c;a;c;c;a;b;c;a;c;a;c;c;b;a;c;a;c
b;a;b;c;a;b;b;c;a;c;a;c;c;b;a;c;c;a;c;b;b;c;b;a;b;c;b;a;c;b;b;c;a;c;a;c;a;c;a;b
b;c;a;c;a;c;c;b;c;a;a;c;a;c;c;a;a;c;c;b;b;c;b;c;a;b;c;a;b;c;b;c;a;c;b;c;c;b;a;b
b;c;a;c;a;c;a;c;a;b;b;c;b;c;b;c;c;b;b;c;a;b;c;a;b;a;b;c;a;c;c;b;a;c;a;c;b;c;b;a
a;c;b;c;a;c;a;c;a;c;b;a;a;c;a;c;c;a;c;b;a;c;c;a;b;a;b;a;a;c;a;c;c;b;a;c;b;a;a;b
a;c;b;a;a;c;b;c;b;a;a;c;b;a;a;b;c;b;a;b;b;c;b;a;b;c;b;c;b;c;a;b;a;c;a;c;b;c;b;c
a;c;a;c;a;c;a;c;a;c;a;c;a;c;a;b;b;c;b;c;a;c;a;c;a;c;b;c;a;c;a;b;a;c;a;c;a;b;a;c
a;c;a;c;a;c;a;b;c;a;a;b;b;a;c;b;c;a;a;c;c;b;b;a;b;c;b;c;b;a;a;c;b;c;a;c;b;c;a;c
a;c;a;c;b;a;a;c;a;c;a;c;b;c;a;c;a;b;a;c;a;c;b;c;b;c;b;c;a;c;b;c;a;c;b;c;b;c;a;b
a;c;a;c;a;c;b;c;a;c;a;c;b;a;a;c;c;a;c;b;a;c;b;a;c;a;b;c;a;b;a;c;b;a;a;c;a;b;b;c
a;b;b;c;a;c;a;c;a;c;c;a;a;c;a;c;c;b;a;c;a;b;b;c;a;c;a;b;a;c;a;c;a;c;a;c;a;c;a;c
b;a;a;c;b;a;b;c;b;a;b;a;a;c;a;c;a;b;a;c;a;b;a;c;b;c;a;c;a;c;b;c;a;c;b;c;b;c;a;b
a;c;a;c;b;c;a;c;a;c;c;a;b;c;a;b;c;b;a;c;a;c;b;c;a;b;c;a;a;b;a;b;c;b;a;b;a;c;a;c
b;c;a;c;b;a;a;b;b;a;a;c;b;c;a;b;a;c;a;c;a;c;b;a;c;b;a;c;b;c;a;c;a;c;c;b;a;c;a;c
a;c;a;c;b;c;a;b;a;c;b;c;a;c;a;b;c;b;c;b;b;a;c;a;a;c;b;c;a;c;a;b;a;c;a;c;b;a;a;c
b;c;b;c;b;a;a;c;c;b;b;c;a;b;a;c;c;b;a;b;a;c;b;c;b;c;b;c;b;a;a;b;a;b;a;c;a;b;a;b
a;c;a;c;c;b;a;c;a;c;a;c;a;c;a;c;a;c;a;c;b;c;a;c;c;a;a;c;a;c;a;b;a;c;b;c;b;c;a;c
b;c;b;c;b;c;b;c;b;c;a;c;b;a;b;a;a;b;b;a;a;c;b;c;a;c;a;c;a;c;a;c;a;c;a;c;a;b;b;a
a;b;b;a;b;a;a;c;b;a;b;c;b;c;c;b;c;a;c;b;a;c;b;a;b;a;b;a;a;b;a;c;b;c;a;c;a;b;a;b
b;c;b;c;c;a;a;c;c;a;a;c;b;a;a;c;c;a;c;a;b;c;c;a;a;c;b;c;c;b;a;c;c;b;c;b;c;b;b;c
c;b;a;c;b;a;b;c;a;c;a;c;a;c;a;c;c;b;b;c;a;c;b;c;a;b;a;c;a;c;a;b;a;c;a;c;b;c;b;a
b;c;a;b;a;c;a;c;a;c;b;c;a;b;a;b;c;b;c;b;a;c;b;c;b;a;a;c;a;b;a;b;a;c;a;c;c;b;a;c
c;b;a;c;a;c;c;b;a;c;b;a;a;c;b;c;c;b;b;c;a;c;b;a;b;c;b;c;a;c;a;b;b;a;a;c;a;c;a;c
c;b;a;c;b;c;c;b;a;c;a;c;b;c;a;c;a;c;c;a;a;c;a;c;b;c;b;a;a;b;a;c;a;c;a;c;a;c;a;b
a;c;a;c;a;c;a;b;a;c;b;a;b;c;a;c;c;b;b;a;a;b;a;c;a;c;a;c;a;c;a;b;a;c;a;c;a;c;a;b
c;b;a;c;b;a;b;a;a;b;b;c;a;c;b;c;c;b;c;b;a;c;b;c;b;c;b;c;a;c;a;b;a;c;c;b;c;b;a;b
a;c;a;c;a;c;a;b;a;c;b;a;a;c;b;a;c;a;c;a;a;c;b;c;a;c;a;c;b;c;a;c;b;c;a;c;a;c;a;c
a;c;a;b;b;c;a;c;a;c;a;c;a;c;a;c;c;b;c;b;c;b;a;c;b;c;a;c;a;c;a;b;a;c;a;c;b;c;a;c
a;c;a;c;a;c;a;c;b;c;c;a;a;c;a;c;c;b;a;c;a;c;b;a;b;a;b;a;b;a;a;c;a;c;a;b;c;b;a;c
b;c;b;c;a;b;a;c;a;c;b;c;a;b;a;c;c;b;c;a;b;c;c;a;a;c;a;b;a;c;a;c;a;b;b;c;a;c;b;a
b;c;b;c;b;c;a;c;b;a;b;c;a;c;a;b;c;a;c;b;a;b;c;a;b;a;b;c;a;c;a;c;a;c;b;c;a;b;a;c
a;c;a;c;a;c;a;c;b;c;a;c;a;c;a;c;c;b;c;b;a;b;b;c;c;b;b;a;a;c;a;b;a;c;a;c;b;c;b;c
a;c;a;c;b;c;a;c;a;c;a;c;a;c;a;c;c;b;a;c;a;c;c;a;c;b;b;c;a;c;a;c;a;c;a;c;a;c;a;c
a;c;b;c;b;c;a;b;a;c;b;a;b;a;c;b;c;b;b;c;a;c;b;c;c;a;b;c;a;c;a;c;a;b;a;b;a;b;a;c
b;c;a;c;a;c;a;b;b;a;a;c;a;b;a;c;c;a;b;c;b;c;b;c;b;c;a;c;a;b;a;b;a;b;a;c;b;a;b;a
a;c;a;c;a;c;a;c;a;c;a;c;a;c;c;b;c;b;a;c;a;c;b;a;b;c;a;b;a;c;a;b;b;c;a;c;b;c;a;c
a;c;a;c;a;c;a;c;a;c;a;c;c;b;c;b;c;b;c;b;b;a;c;a;b;c;a;b;b;c;a;b;a;c;a;c;b;a;b;a
a;c;a;c;c;b;a;b;b;a;a;c;b;a;b;c;c;a;c;b;b;a;a;c;a;c;a;c;a;b;a;b;a;b;a;c;a;b;a;c
c;a;a;c;a;c;a;c;a;c;b;a;b;a;b;c;c;a;c;b;b;c;b;a;c;b;b;c;a;c;a;c;a;c;b;a;a;c;a;c
b;c;a;c;a;c;a;c;a;c;a;c;b;c;b;a;c;a;c;b;b;a;b;c;a;b;b;c;b;c;a;b;a;c;a;c;a;b;a;c
